Index,Post Latency,Broadcast latency,Get Latency,Data Size
1,19,2,1,101277
2,5,1,1,101316
3,19,1,1,101267
4,75,36,32,101358
5,33,11,19,101267
6,14,11,11,101246
7,5,2,1,101253
8,42,13,27,101280
9,3,1,1,101250
10,3,1,1,101370
11,35,20,28,101379
12,5,3,1,101302
13,31,73,163,101301
14,31,21,19,101266
15,4,2,1,101236
16,22,30,22,101289
17,15,19,63,101267
18,4,2,2,101220
19,43,49,12,101316
20,35,11,44,101308
21,3,1,1,101289
22,2,1,1,101216
23,59,18,44,101231
24,2,1,1,101279
25,2,1,0,101321
26,2,1,1,101288
27,37,50,48,101307
28,77,43,39,101225
29,17,12,18,101308
30,4,1,1,101274
31,3,1,0,101208
32,3,1,1,101304
33,27,15,47,101346
34,3,1,1,101282
35,3,1,1,101258
36,50,17,49,101384
37,19,24,50,101256
38,4,2,1,101271
39,54,13,9,101425
40,89,22,10,101237
41,42,11,53,101272
42,19,61,65,101324
43,16,45,13,101324
44,4,1,1,101223
45,3,1,1,101259
46,3,1,0,101228
47,11,5,1,101240
48,75,39,50,101300
49,67,21,59,101255
50,3,1,0,101328
51,69,55,54,101336
52,19,61,60,101264
53,4,1,1,101252
54,3,1,1,101276
55,61,61,14,101289
56,3,1,1,101247
57,3,1,1,101262
58,43,64,16,101372
59,2,1,0,101296
60,3,1,1,101271
61,46,16,48,101296
62,68,12,16,101312
63,15,36,52,101245
64,77,136,69,101216
65,2,2,1,101328
66,3,1,1,101303
67,186,18,12,101309
68,19,15,12,101340
69,68,23,13,101333
70,2,1,1,101340
71,16,55,10,101301
72,52,68,151,101286
73,69,63,68,101320
74,55,75,52,101245
75,19,45,22,101237
76,48,18,13,101288
77,136,18,13,101352
78,17,17,28,101213
79,4,2,1,101211
80,4,1,1,101349
81,85,55,18,101290
82,5,2,2,101230
83,18,16,10,101238
84,4,2,1,101354
85,3,1,1,101233
86,4,1,1,101279
87,13,19,19,101121
88,42,17,26,101264
89,29,15,20,101297
90,3,2,1,101295
91,4,2,1,101260
92,4,2,1,101209
93,4,1,2,101303
94,73,16,14,101258
95,4,2,2,101183
96,5,1,1,101171
97,104,15,17,101227
98,15,24,57,101260
99,5,2,2,101348
100,22,20,16,101268
avg,27.08,18.05,19.61,101280.07
