Index,Post Latency,Broadcast latency,Get Latency,Data Size
0,57,466,2,101410
1,44,125,0,101490
2,35,205,1,101379
3,32,1168,0,101285
4,28,245,1,101310
5,20,206,1,101372
6,20,183,0,101400
7,25,180,1,101406
8,25,197,1,101331
9,24,270,0,101385
10,20,178,1,101277
11,16,184,1,101495
12,20,160,0,101349
13,47,524,0,101323
14,19,374,1,101338
15,20,404,0,101367
16,38,145,0,101396
17,27,257,1,101404
18,16,139,0,101225
19,11,178,0,101372
20,16,143,6,101279
21,16,150,0,101270
22,17,152,0,101319
23,16,136,1,101323
24,18,121,1,101359
25,29,190,6,101386
26,20,318,0,101334
27,22,251,0,101365
28,22,124,0,101402
29,19,153,1,101446
30,18,171,0,101303
31,20,224,0,101332
32,21,267,0,101346
33,30,136,1,101337
34,15,171,0,101364
35,16,167,0,101300
36,20,131,0,101343
37,39,119,0,101466
38,13,152,0,101402
39,15,138,1,101450
40,17,113,0,101362
41,15,101,0,101216
42,18,99,0,101357
43,18,221,0,101414
44,13,110,0,101362
45,17,128,0,101437
46,11,122,0,101308
47,13,155,0,101371
48,17,166,1,101415
49,17,235,0,101377
50,17,200,0,101314
51,18,264,1,101339
52,12,93,0,101521
53,17,142,0,101399
54,38,132,1,101301
55,37,261,0,101497
56,23,156,0,101481
57,23,128,0,101364
58,29,124,0,101324
59,14,116,0,101360
60,16,180,0,101270
61,18,95,0,101243
62,26,99,1,101366
63,30,130,0,101398
64,12,191,0,101353
65,16,144,0,101292
66,14,177,0,101326
67,17,213,0,101360
68,17,197,1,101461
69,14,224,0,101501
70,27,232,0,101336
71,17,100,1,101396
72,17,216,0,101477
73,18,109,0,101315
74,12,114,0,101373
75,16,165,0,101277
76,17,127,0,101364
77,23,211,0,101313
78,19,121,0,101458
79,19,185,0,101350
80,21,148,0,101351
81,19,216,1,101376
82,31,130,0,101283
83,34,214,0,101427
84,31,63,0,101356
85,25,239,0,101334
86,18,95,0,101407
87,17,102,1,101373
88,17,214,1,101431
89,19,146,1,101435
90,46,244,0,101450
91,15,136,1,101330
92,21,88,0,101399
93,17,115,0,101466
94,19,77,1,101403
95,17,163,0,101404
96,14,221,1,101374
97,18,135,1,101387
98,9,186,0,101387
99,21,81,0,101447
avg,21.24,185.11,0.42,101370.08
